Bulbasaur:Bulbasaur(1), Grass/Poison Type, HP 45, Attack 49, Defense 49, Sp. Attack 65, Sp. Defense 65, Speed 45§
Ivysaur:Ivysaur(2), Grass/Poison Type, HP 60, Attack 62, Defense 63, Sp. Attack 80, Sp. Defense 80, Speed 60§
Venusaur:Venusaur(3), Grass/Poison Type, HP 80, Attack 82, Defense 83, Sp. Attack 100, Sp. Defense 100, Speed 80§
Charmander:Charmander(4), Fire Type, HP 39, Attack 52, Defense 43, Sp. Attack 60, Sp. Defense 50, Speed 65§
Charmeleon:Charmeleon(5), Fire Type, HP 58, Attack 64, Defense 58, Sp. Attack 80, Sp. Defense 65, Speed 80§
Charizard:Charizard(6), Fire/Flying Type, HP 78, Attack 84, Defense 78, Sp. Attack 109, Sp. Defense 85, Speed 100§
Squirtle:Squirtle(7), Water Type, HP 44, Attack 48, Defense 65, Sp. Attack 50, Sp. Defense 64, Speed 43§
Wartortle:Wartortle(8), Water Type, HP 59, Attack 63, Defense 80, Sp. Attack 65, Sp. Defense 80, Speed 58§
Blastoise:Blastoise(9), Water Type, HP 79, Attack 83, Defense 100, Sp. Attack 85, Sp. Defense 105, Speed 78§
Caterpie:Caterpie(10), Bug Type, HP 45, Attack 30, Defense 35, Sp. Attack 20, Sp. Defense 20, Speed 45§
Metapod:Metapod(11), Bug Type, HP 50, Attack 20, Defense 55, Sp. Attack 25, Sp. Defense 25, Speed 30§
Butterfree:Butterfree(12), Bug/Flying Type, HP 60, Attack 45, Defense 50, Sp. Attack 90, Sp. Defense 80, Speed 70§
Weedle:Weedle(13), Bug/Poison Type, HP 40, Attack 35, Defense 30, Sp. Attack 20, Sp. Defense 20, Speed 50§
Kakuna:Kakuna(14), Bug/Poison Type, HP 45, Attack 25, Defense 50, Sp. Attack 25, Sp. Defense 25, Speed 35§
Beedrill:Beedrill(15), Bug/Poison Type, HP 65, Attack 90, Defense 40, Sp. Attack 45, Sp. Defense 80, Speed 75§
Pidgey:Pidgey(16), Normal/Flying Type, HP 40, Attack 45, Defense 40, Sp. Attack 35, Sp. Defense 35, Speed 56§
Pidgeotto:Pidgeotto(17), Normal/Flying Type, HP 63, Attack 60, Defense 55, Sp. Attack 50, Sp. Defense 50, Speed 71§
Pidgeot:Pidgeot(18), Normal/Flying Type, HP 83, Attack 80, Defense 75, Sp. Attack 70, Sp. Defense 70, Speed 101§
Rattata:Rattata(19), Normal Type, HP 30, Attack 56, Defense 35, Sp. Attack 25, Sp. Defense 35, Speed 72§
Raticate:Raticate(20), Normal Type, HP 55, Attack 81, Defense 60, Sp. Attack 50, Sp. Defense 70, Speed 97§
Spearow:Spearow(21), Normal/Flying Type, HP 40, Attack 60, Defense 30, Sp. Attack 31, Sp. Defense 31, Speed 70§
Fearow:Fearow(22), Normal/Flying Type, HP 65, Attack 90, Defense 65, Sp. Attack 61, Sp. Defense 61, Speed 100§
Ekans:Ekans(23), Poison Type, HP 35, Attack 60, Defense 44, Sp. Attack 40, Sp. Defense 54, Speed 55§
Arbok:Arbok(24), Poison Type, HP 60, Attack 95, Defense 69, Sp. Attack 65, Sp. Defense 79, Speed 80§
Pikachu:Pikachu(25), Electric Type, HP 35, Attack 55, Defense 40, Sp. Attack 50, Sp. Defense 50, Speed 90§
Raichu:Raichu(26), Electric Type, HP 60, Attack 90, Defense 55, Sp. Attack 90, Sp. Defense 80, Speed 110§
Sandshrew:Sandshrew(27), Ground Type, HP 50, Attack 75, Defense 85, Sp. Attack 20, Sp. Defense 30, Speed 40§
