Bulbasaur: フシギダネ (fushigidane)§
Ivysaur: フシギソウ (fushigisou)§
Venusaur: フシギバナ (fushigibana)§
Charmander: ヒトカゲ (hitokage)§
Charmeleon: リザード (riza-do)§
Charizard: リザードン (riza-don)§
Squirtle: ゼニガメ (zenigame)§
Wartortle: カメール (kame-ru)§
Blastoise: カメックス (kamekkusu)§
Caterpie: キャタピー (kyatapi-)§
Metapod: トランセル (toranseru)§
Butterfree: バタフリー (batafuri-)§
Weedle: ビードル (bi-doru)§
Kakuna: コクーン (koku-n)§
Beedrill: スピアー (supia-)§
Pidgey: ポッポ (Poppo)§
Pidgeotto: ピジョン (Pijon)§
Pidgeot: ピジョット (pijotto)§
Ratatta: コラッタ (koratta)§
Raticate: ラッタ (ratta)§
Spearow: オニスズメ (onisuzume)§
Fearow: オニドリル (onidoriru)§
Ekans: アーボ (a-bo)§
Arbok: アーボック (a-bokku)§
Pikachu: ピカチュウ (pikachū)§
Raichu: ライチュウ (raichū)§
Sandshrew: サンド (Sando)§
Sandslash: サンドパン (Sandopan)§
Nidoran: ニドラン (nidoran)§
Nidorina: ニドリーナ (nidori-na)§
Nidoqueen: ニドクイン (nidokuin)§
Nidorino: ニドリーノ (nidori-no)§
Nidoking: ニドキング (nidokingu)§
Clefairy: ピッピ (pippi)§
Clefable: ピクシー (pikushi-)§
Vulpix: ロコン (rokon)§
Ninetales: キュウコン (kyūkon)§
Jigglypuff: プリン (purin)§
Wigglytuff: プクリン (pukurin)§
Zubat: ズバット (zubatto)§
Golbat: ゴルバット (gorubatto)§
Oddish: ナゾノクサ (nazonokusa)§
Gloom: クサイハナ (kusaihana)§
Vileplume: ラフレシア (rafureshia)§
Paras: パラス (parasu)§
Parasect: パラセクト (parasekuto)§
Venonat: コンパン (konpan)§
Venomoth: モルフォン (morufuxon)§
Diglett: ヂィグダ (dyiguda)§
Dugtrio: ダグトリオ (dagutorio)§
Meowth: ニャース (nya-su)§
Persian: ペルシアン (Perushian)§
Psyduck: コダック (Kodakku)§
Golduck: ゴルダック (gorudakku)§
Mankey: マンキー (Manki-)§
Primape: オコリザル (okorizaru)§
Growlithe: ガーヂィ (ga-dyi)§
Arcanine: ウインヂィ (uindyi)§
Poliwag: ニョロモ (nyoromo)§
Poliwhirl: ニョロゾ (nyorozo)§
Poliwrath: ニョロボン (nyorobon)§
Abra: ケーシィ (ke-syi)§
Kadabra: ユンゲラー (yungera-)§
Alakazam: フーヂィン (fu-dyin)§
Machop: ワンリキー (wanriki-)§
Machoke: ゴーリキー (Go-Riki-)§
Machamp: カイリキー (kairiki-)§
Bellsprout: マダツボミ (madatsubomi)§
Weepinbell: ウツドン (utsudon)§
Victreebel: ウツボット (utsubotto)§
Tentacool: メノクラゲ (menokurage)§
Tentacruel: ドククラゲ (Dokukurage)§
Geodude: イシツブテ (ishitsubute)§
Graveler: ゴローン (goro-n)§
Golem: ゴローニャ (goro-nya)§
Ponyta: ポニータ (poni-ta)§
Rapidash: ギャロップ (gyaroppu)§
Slowpoke: ヤドン (yadon)§
Slowbro: ヤドラン (yadoran)§
Magnemite: コイル (koiru)§
Magneton: レアコイル (reakoiru)§
Farfetchd: カモネギ (kamonegi)§
Doduo: ドードー (do-do-)§
Dodrio: ドードリオ (do-dorio)§
Seel: パウワウ (pauwau)§
Dewgong: ジュゴン (jugon)§
Grimer: ベトベター (Betobeta-)§
Muk: ベトベトン (Betobeton)§
Shellder: シェルダー (sheruda-)§
Cloyster: パルシェン (parushen)§
Gastly: ゴース (go-su)§
Haunter: ゴースト (go-suto)§
Gengar: ゲンガー (genga-)§
Onix: イワーク (iwa-ku)§
Drowzee: スリープ (suri-pu)§
Hypno: スリーパー (suri-pa-)§
Krabby: クラブ (kurabu)§
Kingler: キングラー (kingura-)§
Voltorb: ビリリダマ (biriridama)§
Electrode: マルマリン (marumarin)§
Exeggcute: タマタマ (tamatama)§
Exeggutor: ナッシー (nasshi-)§
Cubone: カラカラ (karakara)§
Marowak: ガラガラ (garagara)§
Hitmonlee: サワムラー (sawamura-)§
Hitmonchan: エビワラー (ebiwara-)§
Lickitung: ベロリンガ (beroringa)§
Koffing: ドガース (doga-su)§
Weezing: マタドカース (matadoka-su)§
Rhyhorn: サイホーン (saiHo-N)§
Rhydon: サイドン (saidon)§
Chansey: ラッキ (rakki)§
Tangela: モンジャラ (monjara)§
Kangaskhan: ガルーラ (garu-ra)§
Horsea: タッツー (tattsu-)§
Seadra: シードラ (shi-dora)§
Goldeen: トサキント (tosakinto)§
Seaking: アズマオウ (azumaou)§
Staryu: ヒトデマン (hitodeman)§
